1,-0.49331463,0.0438258
1.05,-0.53807713,0.0560171
1.1,-0.58072579,0.0698875
1.15,-0.62021968,0.0869356
1.2,-0.65543236,0.106343
1.25,-0.68515188,0.127793
1.3,-0.70808077,0.151561
1.35,-0.72283607,0.179206
1.4,-0.7279493,0.208869
1.45,-0.72186645,0.240325
1.5,-0.70294803,0.274072
1.55,-0.66946903,0.309964
1.6,-0.61961893,0.345145
1.65,-0.55150169,0.374349
1.7,-0.46313577,0.27754
1.75,-0.35245412,0.352002
1.8,-0.21730418,0.233196
1.85,-0.055447864,0.381751
1.9,0.1354384,0.483627
1.95,0.3577637,0.755887
2,0.61402264,1.03971
2.05,0.90679535,1.32383
2.1,1.2387474,1.6128
2.15,1.61263,1.89946
2.2,2.0312798,2.18059
2.25,2.4311302,2.45543
2.3,2.8164971,2.72011
2.35,3.2021151,2.97322
2.4,3.6042381,3.21215
2.45,3.9100332,3.43323
2.5,4.0803342,3.62778
2.55,4.162828,3.79548
2.6,4.2216426,3.92668
2.65,4.2701114,4.01024
2.7,4.2744206,4.03896
2.75,4.2660462,4.00028
2.8,4.3191407,3.88211
2.85,4.1902021,3.68272
2.9,3.7571014,3.37434
2.95,3.1353151,2.96888
3,2.528142,2.47866
3.05,1.9253387,1.90711
3.1,1.1314756,1.28029
3.15,0.25898018,0.592182
3.2,-0.54468001,-0.140085
3.25,-1.2454874,-0.89618
3.3,-2.0659425,-1.6418
3.35,-2.9235809,-2.33826
3.4,-3.5958363,-2.94626
3.45,-4.1750536,-3.46905
3.5,-4.9123816,-3.91583
3.55,-5.7063203,-4.31319
3.6,-6.2079623,-4.62097
3.65,-6.3330227,-4.83929
3.7,-6.3337456,-4.96157
3.75,-6.3128853,-5.02918
3.8,-6.0329735,-5.00073
3.85,-5.4765842,-4.87797
3.9,-4.9031356,-4.66992
3.95,-4.472392,-4.38047
4,-4.344766,-4.01009
4.05,-4.2079098,-3.56289
4.1,-3.8839391,-3.04291
4.15,-3.5875535,-2.46488
4.2,-2.7699665,-1.83879
4.25,-2.1411807,-1.1747
4.3,-1.5139563,-0.482286
4.35,-0.748764,0.230599
4.4,0.19436553,0.954517
4.45,1.6101984,1.67986
4.5,2.3573145,2.37566
4.55,2.9408107,3.02139
4.6,3.4498383,3.59773
4.65,3.9923582,4.08387
4.7,4.2236077,4.4602
4.75,4.5655768,4.71209
4.8,4.4284273,4.82549
4.85,4.4756269,4.79518
4.9,4.7159679,4.62184
4.95,4.5784997,4.31174
5,3.973031,3.87856
5.05,3.4690258,3.34219
5.1,2.8555168,2.72865
5.15,2.0200477,2.06819
5.2,0.96486424,1.3936
5.25,-0.095750012,0.731998
5.3,-0.86772213,0.112102
5.35,-1.4015901,-0.440488
5.4,-1.6920826,-0.905919
5.45,-2.0737594,-1.27147
5.5,-2.8766134,-1.5317
5.55,-2.9918939,-1.69141
5.6,-2.8979903,-1.75988
5.65,-3.1737404,-1.75143
5.7,-2.4239425,-1.68851
5.75,-1.1944558,-1.59294
5.8,-0.80048327,-1.4874
5.85,-0.82958068,-1.39373
5.9,-0.011677447,-1.3329
5.95,-0.18583633,-1.3176
6,0.049066322,-1.35039
6.05,-0.047343634,-1.43328
6.1,-0.34156696,-1.56093
6.15,-0.74619852,-1.72048
6.2,-0.35418621,-1.89176
6.25,-1.2307997,-2.05369
6.3,-1.5861727,-2.18739
6.35,-1.6017792,-2.27036
6.4,-1.9780795,-2.28039
6.45,-2.2952349,-2.20265
6.5,-2.1031531,-2.02793
6.55,-1.9337661,-1.75432
6.6,-1.4083763,-1.38466
6.65,-0.68898031,-0.929232
6.7,-0.57457134,-0.405041
6.75,-0.047104989,0.168987
6.8,1.4590604,0.775959
6.85,2.2492141,1.38027
6.9,2.4866161,1.95234
6.95,3.3949657,2.46565
7,4.1126306,2.89713
7.05,4.3618921,3.23112
7.1,4.8052012,3.45291
7.15,5.2288022,3.55412
7.2,5.7234697,3.53383
7.25,6.2700844,3.39663
7.3,5.9309497,3.14968
7.35,4.9362249,2.80525
7.4,3.565478,2.38017
7.45,1.9044404,1.89294
7.5,0.94279569,1.36265
7.55,0.20700656,0.806972
7.6,-1.1517189,0.24396
7.65,-1.5990221,-0.309302
7.7,-2.4864069,-0.838181
7.75,-3.1006384,-1.33346
7.8,-3.4582085,-1.78004
7.85,-4.0872676,-2.16433
7.9,-4.2979612,-2.47632
7.95,-3.4362192,-2.70727
8,-2.8423564,-2.84984
8.05,-4.1397626,-2.89952
8.1,-3.7367775,-2.85235
8.15,-2.4302296,-2.70768
8.2,-2.6741369,-2.46884
8.25,-2.0461961,-2.14298
8.3,-2.729637,-1.74167
8.35,-2.4014651,-1.28156
8.4,-1.5325072,-0.783294
8.45,-0.91487017,-0.270711
8.5,0.64030836,0.230375
8.55,0.68710612,0.694725
8.6,1.7310992,1.0971
8.65,1.9441773,1.41526
8.7,2.0530428,1.63208
8.75,2.8419247,1.74007
8.8,1.4351523,1.73515
8.85,0.53580657,1.62204
8.9,0.75895078,1.4133
8.95,0.30675458,1.12858
9,-0.57954578,0.79332
9.05,-0.57681844,0.436358
9.1,-0.3330644,0.0884949
9.15,-0.99647695,-0.219874
9.2,-3.2318536,-0.458849
9.25,-0.25388838,-0.610357
9.3,0.61568798,-0.663187
9.35,0.21095676,-0.61254
9.4,-0.45942994,-0.462493
9.45,-1.1550263,-0.225771
9.5,-0.65680475,0.077204
9.55,0.71119701,0.421275
9.6,1.8960493,0.775882
9.65,2.6991727,1.10849
9.7,2.5363741,1.38732
9.75,2.0198544,1.58647
9.8,2.1405049,1.6847
9.85,3.2174526,1.66843
9.9,3.8991576,1.53275
9.95,2.3292784,1.28178
10,1.8762198,0.928396
