1,-0.49331463,-0.0877537
1.05,-0.53807713,-0.103208
1.1,-0.58072579,-0.120647
1.15,-0.62021968,-0.140264
1.2,-0.65543236,-0.162268
1.25,-0.68515188,-0.186889
1.3,-0.70808077,-0.214381
1.35,-0.72283607,-0.245025
1.4,-0.7279493,-0.279135
1.45,-0.72186645,-0.31706
1.5,-0.70294803,-0.359203
1.55,-0.66946903,-0.40602
1.6,-0.61961893,-0.458052
1.65,-0.55150169,-0.515938
1.7,-0.46313577,-0.580451
1.75,-0.35245412,-0.652391
1.8,-0.21730418,0.315445
1.85,-0.055447864,0.543539
1.9,0.1354384,0.502009
1.95,0.3577637,0.523673
2,0.61402264,0.595763
2.05,0.90679535,1.2466
2.1,1.2387474,1.54999
2.15,1.61263,1.87371
2.2,2.0312798,2.19912
2.25,2.4311302,2.5299
2.3,2.8164971,2.85469
2.35,3.2021151,3.17194
2.4,3.6042381,3.47301
2.45,3.9100332,3.74109
2.5,4.0803342,3.98069
2.55,4.162828,4.18258
2.6,4.2216426,4.33074
2.65,4.2701114,4.42799
2.7,4.2744206,4.4633
2.75,4.2660462,4.42093
2.8,4.3191407,4.30305
2.85,4.1902021,4.09166
2.9,3.7571014,3.7678
2.95,3.1353151,3.35174
3,2.528142,2.8319
3.05,1.9253387,2.19835
3.1,1.1314756,1.4874
3.15,0.25898018,0.705311
3.2,-0.54468001,-0.16932
3.25,-1.2454874,-1.05179
3.3,-2.0659425,-1.93114
3.35,-2.9235809,-2.73656
3.4,-3.5958363,-3.44002
3.45,-4.1750536,-4.02583
3.5,-4.9123816,-4.45693
3.55,-5.7063203,-4.81307
3.6,-6.2079623,-5.05582
3.65,-6.3330227,-5.2401
3.7,-6.3337456,-5.35974
3.75,-6.3128853,-5.37912
3.8,-6.0329735,-5.30917
3.85,-5.4765842,-5.15663
3.9,-4.9031356,-4.91054
3.95,-4.472392,-4.57646
4,-4.344766,-4.1604
4.05,-4.2079098,-3.6697
4.1,-3.8839391,-3.11226
4.15,-3.5875535,-2.49454
4.2,-2.7699665,-1.83036
4.25,-2.1411807,-1.13406
4.3,-1.5139563,-0.408136
4.35,-0.748764,0.337673
4.4,0.19436553,1.08969
4.45,1.6101984,1.84439
4.5,2.3573145,2.58074
4.55,2.9408107,3.26728
4.6,3.4498383,3.87109
4.65,3.9923582,4.37581
4.7,4.2236077,4.76556
4.75,4.5655768,5.02837
4.8,4.4284273,5.15209
4.85,4.4756269,5.12044
4.9,4.7159679,4.92445
4.95,4.5784997,4.56909
5,3.973031,4.06236
5.05,3.4690258,3.42289
5.1,2.8555168,2.67629
5.15,2.0200477,1.86851
5.2,0.96486424,1.03733
5.25,-0.095750012,0.213881
5.3,-0.86772213,-0.562997
5.35,-1.4015901,-1.26251
5.4,-1.6920826,-1.84808
5.45,-2.0737594,-2.29006
5.5,-2.8766134,-2.57264
5.55,-2.9918939,-2.67731
5.6,-2.8979903,-2.62816
5.65,-3.1737404,-2.44727
5.7,-2.4239425,-2.16241
5.75,-1.1944558,-1.81085
5.8,-0.80048327,-1.43564
5.85,-0.82958068,-1.07511
5.9,-0.011677447,-0.766209
5.95,-0.18583633,-0.54374
6,0.049066322,-0.43058
6.05,-0.047343634,-0.429921
6.1,-0.34156696,-0.543292
6.15,-0.74619852,-0.764352
6.2,-0.35418621,-1.06778
6.25,-1.2307997,-1.41475
6.3,-1.5861727,-1.77725
6.35,-1.6017792,-2.11583
6.4,-1.9780795,-2.38101
6.45,-2.2952349,-2.53303
6.5,-2.1031531,-2.54446
6.55,-1.9337661,-2.39832
6.6,-1.4083763,-2.08961
6.65,-0.68898031,-1.62557
6.7,-0.57457134,-1.02481
6.75,-0.047104989,-0.316296
6.8,1.4590604,0.487317
6.85,2.2492141,1.34674
6.9,2.4866161,2.20595
6.95,3.3949657,3.01586
7,4.1126306,3.73095
7.05,4.3618921,4.31103
7.1,4.8052012,4.72375
7.15,5.2288022,4.94652
7.2,5.7234697,4.96764
7.25,6.2700844,4.78816
7.3,5.9309497,4.413
7.35,4.9362249,3.85565
7.4,3.565478,3.14459
7.45,1.9044404,2.31721
7.5,0.94279569,1.41571
7.55,0.20700656,0.484376
7.6,-1.1517189,-0.433094
7.65,-1.5990221,-1.29602
7.7,-2.4864069,-2.06881
7.75,-3.1006384,-2.73547
7.8,-3.4582085,-3.27098
7.85,-4.0872676,-3.64929
7.9,-4.2979612,-3.86339
7.95,-3.4362192,-3.91711
8,-2.8423564,-3.82182
8.05,-4.1397626,-3.59489
8.1,-3.7367775,-3.25794
8.15,-2.4302296,-2.83513
8.2,-2.6741369,-2.35145
8.25,-2.0461961,-1.82163
8.3,-2.729637,-1.26998
8.35,-2.4014651,-0.72605
8.4,-1.5325072,-0.210998
8.45,-0.91487017,0.257273
8.5,0.64030836,0.663955
8.55,0.68710612,0.997317
8.6,1.7310992,1.24862
8.65,1.9441773,1.4121
8.7,2.0530428,1.48692
8.75,2.8419247,1.47483
8.8,1.4351523,1.37135
8.85,0.53580657,1.18355
8.9,0.75895078,0.92545
8.95,0.30675458,0.615896
9,-0.57954578,0.277908
9.05,-0.57681844,-0.0623791
9.1,-0.3330644,-0.37723
9.15,-0.99647695,-0.639185
9.2,-3.2318536,-0.82255
9.25,-0.25388838,-0.907885
9.3,0.61568798,-0.878145
9.35,0.21095676,-0.725741
9.4,-0.45942994,-0.454829
9.45,-1.1550263,-0.0799532
9.5,-0.65680475,0.374563
9.55,0.71119701,0.876162
9.6,1.8960493,1.38645
9.65,2.6991727,1.8643
9.7,2.5363741,2.2707
9.75,2.0198544,2.57656
9.8,2.1405049,2.74634
9.85,3.2174526,2.75684
9.9,3.8991576,2.59929
9.95,2.3292784,2.28028
10,1.8762198,1.82116
